Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Primary_Genre,Decade,Movie_Age,Success_Category,Popularity_Score,Genre_Count
Our Love Story,2022,131.0,Romance,6.05,55.0,Kunal Kohli,Vardhan Puri,Kaveri Kapur,Unknown,Romance,2020,2,Good,24.353377728947656,1
Ponniyin Selvan,2022,131.0,"Drama, Family, Fantasy",6.05,55.0,Mani Ratnam,Aishwarya Rai Bachchan,Amitabh Bachchan,Aditi Rao Hydari,Drama,2020,2,Good,24.353377728947656,3
Salaar,2022,131.0,Action,6.05,55.0,Prashanth Neel,Prabhas,Shruti Haasan,Mostafiz Mortoza,Action,2020,2,Good,24.353377728947656,1
State vs Justice,2022,120.0,"Biography, Crime, Drama",6.05,55.0,Jaimin Bal,Unknown,Unknown,Unknown,Biography,2020,2,Good,24.353377728947656,3
Tara vs Bilal,2022,131.0,Romance,6.05,55.0,Samar Iqbal,Harshvardhan Rane,Angira Dhar,Unknown,Romance,2020,2,Good,24.353377728947656,1
The Intern,2022,131.0,"Comedy, Drama, Thriller",6.05,55.0,Deepika Padukone,Amitabh Bachchan,Unknown,Unknown,Comedy,2020,2,Good,24.353377728947656,3
The Son of Marwad,2022,131.0,"Comedy, Drama, Romance",6.05,55.0,Govind Lugriya,Rk Prajapati,Aryan Maheshwari,Unknown,Comedy,2020,2,Good,24.353377728947656,3
Timir,2022,100.0,"Horror, Mystery, Thriller",6.05,55.0,Atul Kumar Dubey,Anurag Sinha,Vaibhavi Upadhyay,Nidhi Bisht,Horror,2020,2,Good,24.353377728947656,3
Tsunami,2022,131.0,"Drama, Thriller",6.05,55.0,Madhu Sudhanan,Unknown,Unknown,Unknown,Drama,2020,2,Good,24.353377728947656,2
Untitled Luv Ranjan Film,2022,131.0,Comedy,6.05,55.0,Luv Ranjan,Ranbir Kapoor,Shraddha Kapoor,Boney Kapoor,Comedy,2020,2,Good,24.353377728947656,1
Varchasva,2022,131.0,Action,6.05,55.0,Manish Singh,Unknown,Unknown,Unknown,Action,2020,2,Good,24.353377728947656,1
Vo Ladki,2022,131.0,"Drama, Romance",6.05,55.0,Praween Kumar Pandey,Dharmendra Ahirwar,Sanit Swami,Unknown,Drama,2020,2,Good,24.353377728947656,2
World Bhangra League,2022,131.0,Drama,6.05,55.0,Parvinder Singh Wraich,Harkiran Kaur Wraich,Vinamarjot Singh Wraich,Unknown,Drama,2020,2,Good,24.353377728947656,1
Yudhra,2022,131.0,Action,6.05,55.0,Ravi Udyawar,Malavika Mohanan,Siddhant Chaturvedi,Raghav Juyal,Action,2020,2,Good,24.353377728947656,1
Dekh Mujhe Bhi - Syed Fardeen and Shweta Jean,2021,131.0,"Music, Romance",9.7,55.0,Saaz Khan,Shaim Khan,Saif Aly,Syed Fardeen,Music,2020,3,Excellent,39.04591140013095,2
Half Songs,2021,79.0,"Music, Romance",9.7,7.0,Sriram Raja,Raj Banerjee,Emon Chatterjee,Purshottam Mulani,Music,2020,3,Excellent,20.170582954294407,2
June,2021,93.0,Drama,9.4,18.0,Suhrud Godbole,Vaibhav Khisti,Nilesh Divekar,Jitendra Joshi,Drama,2020,3,Excellent,27.677726404164538,1
Aa Bhi Ja O Piya,2021,140.0,"Family, Romance",9.3,55.0,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag,Family,2020,3,Excellent,37.435770723836896,2
Baikunth,2021,72.0,Family,9.3,29.0,Vishwa Bhanu,Vishwa Bhanu,Sangam Shukla,Vijay Thakur,Family,2020,3,Excellent,31.63113564945805,1
Deja Vu,2021,131.0,Sci-Fi,9.3,55.0,Abhijeet Warang,Sharad Kelkar,Amruta Khanvilkar,Kishori Shahane,Sci-Fi,2020,3,Excellent,37.435770723836896,1
In The Month of July,2021,131.0,Family,9.3,55.0,Saurabh Sengupta,Shamim Akbarali,Donal Bisht,Ranjeet Jha,Family,2020,3,Excellent,37.435770723836896,1
Love Sorries,2021,101.0,"Comedy, Drama, Romance",9.3,79.0,Gautam Joshi,Prashant Chaubey,Puneet Chouksey,Amitabh Gupta,Comedy,2020,3,Excellent,40.7528477024671,3
Priti the dark shadow of society,2021,101.0,Family,9.3,55.0,Arjun Mahadev Vriti,Mohammad Ishtiyaq Mi Ishu Boy,Harish Gupta,Ayushi Chatterjee,Family,2020,3,Excellent,37.435770723836896,1
Refl3ct,2021,65.0,Sci-Fi,9.3,467.0,Nikhil Mahar,Vijay Mahar,Vijay Mahar,Nikhil Mahar,Sci-Fi,2020,3,Excellent,57.18075515203412,1
Secrets of Sinauli,2021,56.0,"Documentary, History",9.3,1373.0,Raghav Jairath,Manoj Bajpayee,R.S. Bhist,K.N. Dixit,Documentary,2020,3,Excellent,67.19697769687535,2
The Kasol Diaries,2021,131.0,Family,9.3,55.0,Manan Sahni,Shivangi Khandelwal,Manuj Agarwal,Vaibhav Sharma,Family,2020,3,Excellent,37.435770723836896,1
Cheer Haran,2021,98.0,Documentary,9.1,123.0,Kuldeep Ruhil,Kuldeep Ruhil,Unknown,Unknown,Documentary,2020,3,Excellent,43.864562247005836,1
Kaadan,2021,170.0,"Action, Drama, Fantasy",9.1,2219.0,Prabu Solomon,Raghu Babu,Rana Daggubati,Abudhar Al Hassan,Action,2020,3,Excellent,70.11788852128356,3
Borderlands,2021,131.0,Documentary,9.0,7.0,Samarth Mahajan,Unknown,Unknown,Unknown,Documentary,2020,3,Excellent,18.71497387511852,1
Consequence Karma,2021,92.0,"Drama, Thriller",9.0,223.0,Shadab Ahmad,Sidharth Bhardwaj,Monis Khan,Pooja Gupta,Drama,2020,3,Excellent,48.70481446669535,2
Moral Nights,2021,93.0,Drama,9.0,37.0,S. Sunil,Kannanunni,Santhosh Keezhattoor,Sandra Larwin,Drama,2020,3,Excellent,32.73827543753747,1
Viraat,2021,150.0,Crime,8.9,294.0,Narendra Singh,Kritika Sachdeva,Ravi Jhanghu,Lokesh Tilakdhari,Crime,2020,3,Excellent,50.614080671424404,1
Body,2021,131.0,Mystery,8.8,55.0,Abhijit Mazumdar,Khushboo Upadhyay,Jatin Negi,Manoj Sharmaa,Mystery,2020,3,Excellent,35.42309487846932,1
Half Dracula,2021,100.0,Mystery,8.8,55.0,Vickram,Amit Kumar Vashisth,Toofan Verma,Unknown,Mystery,2020,3,Excellent,35.42309487846932,1
"Indradhanush, the Grey Shades of Love",2021,90.0,Mystery,8.8,5.0,Nalin Singh,Talia Bentson,Sommansh Sachdevva,Unknown,Mystery,2020,3,Excellent,15.767483329206884,1
Naam,2021,131.0,Mystery,8.8,55.0,Anees Bazmee,Ajay Devgn,Sameera Reddy,Bhoomika Chawla,Mystery,2020,3,Excellent,35.42309487846932,1
Samvaran,2021,131.0,Mystery,8.8,55.0,Saurabh Sinha,Akshay Anand,Unknown,Unknown,Mystery,2020,3,Excellent,35.42309487846932,1
The Closed Door,2021,50.0,"Mystery, Sci-Fi",8.8,55.0,Shekhar Kar,Riann Barruah,Shekhar Kar,Romil K. Sharma,Mystery,2020,3,Excellent,35.42309487846932,2
The Forgotten,2021,120.0,Mystery,8.8,55.0,Mirza Ali,Vishwa Gulati,Nish,Unknown,Mystery,2020,3,Excellent,35.42309487846932,1
The River of Love,2021,70.0,Mystery,8.8,55.0,Akash Khurana,Akash Khurana,Sheetal Menon,Sarang Sathaye,Mystery,2020,3,Excellent,35.42309487846932,1
RK/RKAY,2021,95.0,Drama,8.7,12.0,Rajat Kapoor,Rajat Kapoor,Mallika Sherawat,Ranvir Shorey,Drama,2020,3,Excellent,22.315059409915367,1
Tank Cleaner,2021,155.0,Thriller,8.7,20.0,Parvinder Singh Wraich,Harkiran Kaur Wraich,Muntazir Ahmad,Sunny Gill Ambersariya,Thriller,2020,3,Excellent,26.487345208193776,1
Machaan,2021,124.0,"Drama, Romance",8.6,93.0,Nitesh Tiwari,Pawan Waval,Richa Kalra,Prateek Goyal,Drama,2020,3,Excellent,39.07233512752203,2
124a,2021,131.0,Documentary,8.55,55.0,Varrun Sukhraj,Unknown,Unknown,Unknown,Documentary,2020,3,Excellent,34.41675695578553,1
Dancing Daughters,2021,90.0,Documentary,8.55,55.0,Dinkar Rao,Unknown,Unknown,Unknown,Documentary,2020,3,Excellent,34.41675695578553,1
Fatima,2021,131.0,Documentary,8.55,55.0,Sourabh Kanti Datta,Unknown,Unknown,Unknown,Documentary,2020,3,Excellent,34.41675695578553,1
Mad'ouk - Toughened by Life,2021,79.0,Documentary,8.55,55.0,Bharat Talaviya,Arvind Bijwe,Hari Damalpatti,Raj Vadgama,Documentary,2020,3,Excellent,34.41675695578553,1
MarginalizedAadhaar,2021,69.0,Documentary,8.55,55.0,Subhashish Panigrahi,Ramani,Usha Ramanathan,Dinabandhu Gamango,Documentary,2020,3,Excellent,34.41675695578553,1
Shaap,2021,131.0,Documentary,8.55,55.0,Maria Sigrist,Satindar Singh Bedi,Unknown,Unknown,Documentary,2020,3,Excellent,34.41675695578553,1
Singhwahini,2021,131.0,Documentary,8.55,55.0,Lubdhak Chatterjee,Nihal Parashar,Unknown,Unknown,Documentary,2020,3,Excellent,34.41675695578553,1
Strings of Devotion,2021,131.0,Documentary,8.55,55.0,Arno Krimmer,Vishal Bhardwaj,Jagjit Singh,Zakir Hussain,Documentary,2020,3,Excellent,34.41675695578553,1
Three Losses,2021,60.0,Documentary,8.55,55.0,Rahul Sharma,Shimi Dolkar,Mathias Durand,Florence Galinier,Documentary,2020,3,Excellent,34.41675695578553,1
Watch Over Me,2021,92.0,Documentary,8.55,55.0,Farida Pacha,Unknown,Unknown,Unknown,Documentary,2020,3,Excellent,34.41675695578553,1
B.A. Pass 3,2021,136.0,"Drama, Romance",8.3,1877.0,Narendra Singh,Sunny Sachdeva,Armaan Sandhu,Ankita Sahu,Drama,2020,3,Excellent,62.56509007607613,2
Flight,2021,116.0,"Action, Thriller",8.3,359.0,Suraj Joshi,Vishal Arya,Babita Ashiwal,Shibani Bedi,Action,2020,3,Excellent,48.854663461036296,2
Udham Singh,2021,131.0,"Crime, Drama, History",8.2,29.0,Shoojit Sircar,Kirsty Averton,Tim Berrington,Nicholas Gecks,Crime,2020,3,Excellent,27.88981852962967,3
VanRakshak,2021,93.0,Drama,8.2,32.0,Pawan Kumar Sharma,Dhirendra Thakur,Aditya Srivastav,Yashpal Sharma,Drama,2020,3,Excellent,28.671362004025134,1
Ammaa Ki Boli,2021,117.0,"Comedy, Drama",8.1,871.0,Narayan Chauhan,Sanjay Mishra,Hrishitaa Bhatt,Master Aniket,Comedy,2020,3,Excellent,54.84339433366273,2
Majjma,2021,106.0,Drama,8.1,24.0,Prabhat Sachdeva,Amit Bhardwaj,Gagansharmaknl,Nanda Yadav,Drama,2020,3,Excellent,26.072894181432424,1
Writing with Fire,2021,92.0,Documentary,8.1,106.0,Sushmit Ghosh,Rintu Thomas,Meera Devi,Shyamkali Devi,Documentary,2020,3,Excellent,37.849913559141434,1
Doctor I Love You,2021,131.0,Thriller,7.9,65.0,Mukul Abhyankar,Shiraz Hussain,Sheetal Shah,Unknown,Thriller,2020,3,Excellent,33.09827246200876,1
Mosagallu,2021,85.0,Drama,7.9,1059.0,Jeffrey Gee Chin,Vishnu Manchu,Kajal Aggarwal,Sunil Shetty,Drama,2020,3,Excellent,55.03159107813829,1
House No. 446,2021,131.0,"Horror, Thriller",7.8,8.0,Kritika Sachdeva,Vandana Seth,Vishal Singh,Prince Thakur,Horror,2020,3,Excellent,17.13835170322251,2
NCR: Chapter One,2021,65.0,Crime,7.8,20.0,Saif Baidya,Ajay Kkhundal,Manil Mayank Mishra,Puneet Kumar Mishra,Crime,2020,3,Excellent,23.7472750142427,1
Vande Bharat Flight IX 1344: Hope to Survival,2021,131.0,"Documentary, Thriller",7.8,5.0,Unknown,Unknown,Unknown,Unknown,Documentary,2020,3,Excellent,13.975723859978828,2
Yug the law of karma,2021,75.0,"Action, Crime, Drama",7.7,10.0,Dilip Kumar,Vinod Kumar,Dilip Kumar,Saurav Bagga,Action,2020,3,Excellent,18.463793600547454,3
Ghar Pe Bataao,2021,72.0,Drama,7.6,43.0,Neshu Saluja,Saurabh Goyal,Priyanka Sonawane Hedau,Unknown,Drama,2020,3,Excellent,28.75984121777878,1
Kaagaz,2021,109.0,"Biography, Comedy, Drama",7.6,6738.0,Satish Kaushik,Pankaj Tripathi,Monal Gajjar,Satish Kaushik,Biography,2020,3,Excellent,66.99906786959124,3
Gaurav Gupta: Market Down Hai,2021,50.0,Comedy,7.5,226.0,Neville Shah,Gaurav Gupta,Unknown,Unknown,Comedy,2020,3,Good,40.68712513111052,1
Jamun,2021,92.0,"Drama, Family",7.5,409.0,Gaurav Mehra,Raghuvir Yadav,Shweta Basu Prasad,Sunny Hinduja,Drama,2020,3,Good,45.121178697737655,2
My Darling,2021,80.0,Drama,7.4,63.0,Arpa Khan,Kamalika Chanda,Deep Kumar Singh,Unknown,Drama,2020,3,Good,30.775734816861572,1
Nail Polish,2021,128.0,Drama,7.4,3737.0,Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari,Drama,2020,3,Good,60.87466431131476,1
#Homecoming,2021,90.0,"Drama, Musical",7.2,55.0,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana,Drama,2020,3,Good,28.982532173293077,2
A Separate Sky,2021,131.0,Drama,7.2,55.0,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das,Drama,2020,3,Good,28.982532173293077,1
A Thursday,2021,131.0,"Drama, Thriller",7.2,55.0,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia,Drama,2020,3,Good,28.982532173293077,2
Aao Khelein Gilli Danda,2021,131.0,Drama,7.2,55.0,Faheem Chaudhry,Sonal Jha,Omkar Das Manikpuri,Rajesh Jais,Drama,2020,3,Good,28.982532173293077,1
Aayaam,2021,131.0,Drama,7.2,55.0,Mihir Kumar Sharma,Deepak Singh,Deeksha Panth,Chirag Dave,Drama,2020,3,Good,28.982532173293077,1
Amangal,2021,131.0,Drama,7.2,55.0,Avinash Dhyani,Avinash Dhyani,Suruchi Saklani,Sanskriti Bhatt,Drama,2020,3,Good,28.982532173293077,1
Amriki Pandit,2021,131.0,Drama,7.2,55.0,Kalpesh Garg,Madhavan,Manju Warrier,Deepti Sati,Drama,2020,3,Good,28.982532173293077,1
Anubhuti,2021,110.0,Drama,7.2,55.0,Anirban Dutta,Aritraa Sengupta,Shamila Bhattacharya,Rittick Bhattacharya,Drama,2020,3,Good,28.982532173293077,1
Aparajitha Ayodhya,2021,131.0,Drama,7.2,55.0,Kangana Ranaut,Kangana Ranaut,Unknown,Unknown,Drama,2020,3,Good,28.982532173293077,1
Apne 2,2021,131.0,Drama,7.2,55.0,Anil Sharma,Sunny Deol,Bobby Deol,Dharmendra,Drama,2020,3,Good,28.982532173293077,1
Atlas,2021,131.0,Drama,7.2,55.0,Vikas Kalpana Dwivedi,Narottam Ben,Singh Bhupesh,Devendra Singh Dev,Drama,2020,3,Good,28.982532173293077,1
Baiju Bawra,2021,131.0,Drama,7.2,55.0,Sanjay Leela Bhansali,Deepika Padukone,Ranbir Kapoor,Alia Bhatt,Drama,2020,3,Good,28.982532173293077,1
Barah by Barah,2021,118.0,Drama,7.2,55.0,Gaurav Madan,Aashit Chatterjee,Bhumika Dube,Geetika Vidya Ohlyan,Drama,2020,3,Good,28.982532173293077,1
Bhanwar Jindagi,2021,131.0,Drama,7.2,55.0,Swaroop Sawant,Ganesh Yadav,Kamlesh Sawant,Shreya Pasalkar,Drama,2020,3,Good,28.982532173293077,1
Bidi Bakda,2021,131.0,Drama,7.2,55.0,Gajendra Ahire,Seema Biswas,Eshika Dey,Govind Namdeo,Drama,2020,3,Good,28.982532173293077,1
Black Coffee,2021,131.0,Drama,7.2,55.0,Hemant Verma,Suhasini Mulay,Virendra Saxena,Unknown,Drama,2020,3,Good,28.982532173293077,1
Bombay Girl,2021,131.0,Drama,7.2,55.0,Ssanjay Tripaathi,Janhvi Kapoor,Unknown,Unknown,Drama,2020,3,Good,28.982532173293077,1
Chehre,2021,131.0,"Drama, Mystery, Thriller",7.2,55.0,Rumi Jaffery,Amitabh Bachchan,Rhea Chakraborty,Dhritiman Chatterjee,Drama,2020,3,Good,28.982532173293077,3
Coat,2021,131.0,"Drama, Family",7.2,55.0,Akshay Ditti,Sanjay Mishra,Sonal Jha,Vivaan Shah,Drama,2020,3,Good,28.982532173293077,2
Come on Yaar,2021,122.0,Drama,7.2,55.0,Rajeshwar Pandey Raaj,Tanzeem Alam,Amlesh Jaiswal,Manoj Jaiswal,Drama,2020,3,Good,28.982532173293077,1
Darlings,2021,131.0,Drama,7.2,55.0,Jasmeet K Reen,Alia Bhatt,Shefali Shah,Vijay Varma,Drama,2020,3,Good,28.982532173293077,1
Desert Tears,2021,98.0,Drama,7.2,55.0,Himanshu Gulati,Anangsha Biswas,Megha Chakraborty,Anil Charanjeett,Drama,2020,3,Good,28.982532173293077,1
Destination Zindagi,2021,78.0,Drama,7.2,55.0,Saptarishi Pratim,Tirrtha Murbaadkar,Rammnik Singh,Harish Kulkarni,Drama,2020,3,Good,28.982532173293077,1
Dharma Productions,2021,131.0,Drama,7.2,55.0,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,Unknown,Unknown,Drama,2020,3,Good,28.982532173293077,1
Dihadi,2021,87.0,Drama,7.2,55.0,Nidhi Patel,Pooja Patel,Vaibhav Bhatt,Bhagvad Nayak,Drama,2020,3,Good,28.982532173293077,1
Dilli Kaand,2021,131.0,Drama,7.2,55.0,Kritik Kumar,Preetika Chauhan,Kashvi Kanchan,Virendra Saxena,Drama,2020,3,Good,28.982532173293077,1
Ek Dopahar (An Afternoon),2021,90.0,Drama,7.2,55.0,Leena Malhotra,Dinkar Rao,Sheel Kalia,Antara Rao,Drama,2020,3,Good,28.982532173293077,1
Ek Nashebaaz,2021,131.0,Drama,7.2,55.0,Gabriel Vats,Govind Namdeo,Gabriel Vats,Vijay Vikram Singh,Drama,2020,3,Good,28.982532173293077,1
Everything Is Cinema,2021,70.0,Drama,7.2,55.0,Don Palathara,Sherin Catherine,Don Palathara,Unknown,Drama,2020,3,Good,28.982532173293077,1
Feraa,2021,131.0,Drama,7.2,55.0,Rahul Manohar Chaudhari,Unknown,Unknown,Unknown,Drama,2020,3,Good,28.982532173293077,1
Fiza Mein Tapish,2021,125.0,Drama,7.2,55.0,Rahat Khan,Salman Shaikh,Richa Kalra,Mithilesh Chaturvedi,Drama,2020,3,Good,28.982532173293077,1
Football,2021,131.0,Drama,7.2,55.0,Rani Bhan,Azmat Khwaja,Namita Lal,Swaylee Loughnane,Drama,2020,3,Good,28.982532173293077,1
Gaalib,2021,131.0,Drama,7.2,55.0,Manoj Giri,Nikkhil Pitaley,Deepika Chikhalia,Anil Rastogi,Drama,2020,3,Good,28.982532173293077,1
Gadera,2021,125.0,"Drama, History, Thriller",7.2,55.0,Yogesh Vats,Edward Christle,Andrew Johnson,Catarina Morais,Drama,2020,3,Good,28.982532173293077,3
Gamanam,2021,131.0,Drama,7.2,55.0,Sujana Rao,Shriya Saran,Nithya Menen,Priyanka Jawalkar,Drama,2020,3,Good,28.982532173293077,1
Gotakhor,2021,131.0,Drama,7.2,55.0,Sanjeev Kumar Rajput,Anju Jadhav,Zuber K. Khan,Adarsh Kumar,Drama,2020,3,Good,28.982532173293077,1
Green,2021,115.0,Drama,7.2,55.0,Prashant Nagenrda,Paridhi Sharma,Divyangana Jain,Sanjay Singh,Drama,2020,3,Good,28.982532173293077,1
Gutter Boy,2021,58.0,Drama,7.2,55.0,Anupam Khanna Baswal,Laxmi Kant Baswala,Ajeet Kumar,Ankit Mahna,Drama,2020,3,Good,28.982532173293077,1
Haathi Mere Saathi,2021,126.0,Drama,7.2,55.0,Prabu Solomon,Rana Daggubati,Zoya Hussain,Pulkit Samrat,Drama,2020,3,Good,28.982532173293077,1
Hum Hum Hain,2021,113.0,Drama,7.2,55.0,Bijendra Singh,Nakul Gill,Pentali Sen,Sandeep Yadav,Drama,2020,3,Good,28.982532173293077,1
I Am Draupadi,2021,110.0,Drama,7.2,55.0,Pawan k Shrivastava,Bidita Bag,Mayur More,Rajit Kapoor,Drama,2020,3,Good,28.982532173293077,1
India Lockdown,2021,131.0,Drama,7.2,55.0,Madhur Bhandarkar,Shweta Basu Prasad,Aahana Kumra,Sai Tamhankar,Drama,2020,3,Good,28.982532173293077,1
Jersey,2021,131.0,"Drama, Sport",7.2,55.0,Gowtam Tinnanuri,Shahid Kapoor,Mrunal Thakur,Pankaj Kapur,Drama,2020,3,Good,28.982532173293077,2
Joy,2021,91.0,Drama,7.2,55.0,Varun Singh Rajput,Varun Singh Rajput,Ipsit Nayak,Ali Satunwala,Drama,2020,3,Good,28.982532173293077,1
Kabhi Eid Kabhi Diwali,2021,131.0,Drama,7.2,55.0,Farhad Samji,Salman Khan,Pooja Hegde,Unknown,Drama,2020,3,Good,28.982532173293077,1
Kallu Handsome,2021,131.0,Drama,7.2,55.0,Reyansh Behl,Anshumann Chaturvedi,Ritesh s Kumar,Ravi Mann,Drama,2020,3,Good,28.982532173293077,1
Karma,2021,105.0,"Drama, Romance",7.2,55.0,Kartik Swaminathan Venkatraman,Johnny Serret,Sagar Sharma,Puja S,Drama,2020,3,Good,28.982532173293077,2
Karnika,2021,131.0,Drama,7.2,55.0,Rupender Verma,Unknown,Unknown,Unknown,Drama,2020,3,Good,28.982532173293077,1
Kun Faya Kun,2021,131.0,"Drama, Thriller",7.2,55.0,Kushan Nandy,Harshvardhan Rane,Sanjeeda Sheikh,DJ Farman,Drama,2020,3,Good,28.982532173293077,2
Kutub Minar,2021,131.0,Drama,7.2,55.0,Raaj Aashoo,Kanchan Awasthi,Karanvir Bohra,Tridha Choudhury,Drama,2020,3,Good,28.982532173293077,1
Liger,2021,131.0,Drama,7.2,55.0,Puri Jagannadh,Ramya Krishnan,Vijay Deverakonda,Ananya Panday,Drama,2020,3,Good,28.982532173293077,1
Lubdh,2021,150.0,"Drama, Thriller",7.2,55.0,Partha Ganguly,Ankur Bhatia,Joy Sengupta,Judhajit Sarkar,Drama,2020,3,Good,28.982532173293077,2
Maidaan,2021,131.0,"Drama, History, Sport",7.2,55.0,Amit Ravindernath Sharma,Priyamani,Ajay Devgn,Gajraj Rao,Drama,2020,3,Good,28.982532173293077,3
Maila,2021,131.0,Drama,7.2,55.0,Aditya Om,Unknown,Unknown,Unknown,Drama,2020,3,Good,28.982532173293077,1
Majhe,2021,131.0,Drama,7.2,55.0,Amarpal Singh Fauzdar,Anindita Ghosh,Somnath Mondal,Priyanka Dasgupta,Drama,2020,3,Good,28.982532173293077,1
Mandbuddhi,2021,131.0,Drama,7.2,55.0,Sanjay Sakshii,Gaurav Prateek,Anup Jalota,Deepraj Rana,Drama,2020,3,Good,28.982532173293077,1
Manvee,2021,87.0,Drama,7.2,55.0,Tanmay Nag,Jayanta Mondal,Sagar Kumar,Peehu Biswas,Drama,2020,3,Good,28.982532173293077,1
Maskhara,2021,131.0,"Drama, Thriller",7.2,55.0,Jaimin Bal,Prachi Desai,Sumeet Vyas,Prashant Narayanan,Drama,2020,3,Good,28.982532173293077,2
Mehak Sugandh,2021,131.0,Drama,7.2,55.0,Vivek Chauhan,Rk Vashist,Kafil Ahmed,Aryav,Drama,2020,3,Good,28.982532173293077,1
Mere Desh Ki Dharti,2021,131.0,Drama,7.2,55.0,Faraz Haider,Inaamulhaq,Anupriya Goenka,Divyendu Sharma,Drama,2020,3,Good,28.982532173293077,1
